Date,Open,High,Low,Close,Adj Close,Volume
2018-06-05,4.271950,4.289510,4.264000,4.270640,4.270640,0
2018-06-06,4.278600,4.284000,4.261000,4.279000,4.279000,0
2018-06-07,4.265350,4.271900,4.253000,4.267600,4.267600,0
2018-06-08,4.276800,4.294750,4.271000,4.276300,4.276300,0
2018-06-11,4.276580,4.279400,4.259000,4.276320,4.276320,0
2018-06-12,4.263050,4.278100,4.261290,4.263620,4.263620,0
2018-06-13,4.280710,4.283600,4.269000,4.279920,4.279920,0
2018-06-14,4.275450,4.282200,4.262000,4.275700,4.275700,0
2018-06-15,4.287300,4.290400,4.270000,4.283970,4.283970,0
2018-06-18,4.277950,4.300950,4.275000,4.279400,4.279400,0
2018-06-19,4.302800,4.318800,4.293000,4.302810,4.302810,0
2018-06-20,4.309630,4.319260,4.298000,4.309160,4.309160,0
2018-06-21,4.314830,4.331600,4.312000,4.314730,4.314730,0
2018-06-22,4.327410,4.329900,4.306000,4.329200,4.329200,0
2018-06-25,4.322200,4.344780,4.314000,4.321340,4.321340,0
2018-06-26,4.344230,4.348300,4.327000,4.345300,4.345300,0
2018-06-27,4.335970,4.351600,4.323000,4.335990,4.335990,0
2018-06-28,4.349420,4.369450,4.344000,4.349780,4.349780,0
2018-06-29,4.362400,4.374300,4.346000,4.360830,4.360830,0
2018-07-02,4.363250,4.402450,4.362580,4.363300,4.363300,0
2018-07-03,4.397600,4.411000,4.383000,4.396700,4.396700,0
2018-07-04,4.393830,4.400300,4.372000,4.393580,4.393580,0
2018-07-05,4.382900,4.383400,4.345000,4.382010,4.382010,0
2018-07-06,4.351900,4.368500,4.342000,4.350900,4.350900,0
2018-07-09,4.352430,4.353700,4.309000,4.352410,4.352410,0
2018-07-10,4.309680,4.336740,4.303000,4.309350,4.309350,0
2018-07-11,4.315370,4.339470,4.311000,4.316000,4.316000,0
2018-07-12,4.338750,4.340600,4.310000,4.339740,4.339740,0
2018-07-13,4.320600,4.331400,4.308000,4.319700,4.319700,0
2018-07-16,4.310550,4.312700,4.296000,4.311050,4.311050,0
2018-07-17,4.301870,4.308600,4.286000,4.302150,4.302150,0
2018-07-18,4.294600,4.311600,4.293000,4.295600,4.295600,0
2018-07-19,4.310150,4.339580,4.304000,4.309610,4.309610,0
2018-07-20,4.340220,4.351500,4.312000,4.340710,4.340710,0
2018-07-23,4.318940,4.331200,4.311000,4.319050,4.319050,0
2018-07-24,4.326150,4.334730,4.293000,4.326700,4.326700,0
2018-07-25,4.297190,4.309250,4.289000,4.301650,4.301650,0
2018-07-26,4.294830,4.301550,4.277000,4.295250,4.295250,0
2018-07-27,4.288470,4.296700,4.254450,4.288790,4.288790,0
2018-07-30,4.283800,4.287600,4.264000,4.283600,4.283600,0
2018-07-31,4.268310,4.282010,4.264000,4.269560,4.269560,0
2018-08-01,4.274000,4.282020,4.259410,4.273900,4.273900,0
2018-08-02,4.260300,4.283840,4.258830,4.262250,4.262250,0
2018-08-03,4.275170,4.280610,4.250980,4.275080,4.275080,0
2018-08-06,4.255970,4.275170,4.255970,4.253250,4.253250,0
2018-08-07,4.255140,4.258800,4.246000,4.256300,4.256300,0
2018-08-08,4.256540,4.264970,4.253180,4.257500,4.257500,0
2018-08-09,4.263050,4.278670,4.262670,4.264300,4.264300,0
2018-08-10,4.277560,4.297780,4.270750,4.276770,4.276770,0
2018-08-13,4.294010,4.314920,4.285010,4.292400,4.292400,0
2018-08-14,4.299420,4.305930,4.288310,4.299410,4.299410,0
2018-08-15,4.303550,4.342600,4.294420,4.303150,4.303150,0
2018-08-16,4.319640,4.321900,4.300600,4.321300,4.321300,0
2018-08-17,4.305200,4.318100,4.296110,4.305200,4.305200,0
2018-08-20,4.302500,4.313500,4.292790,4.303900,4.303900,0
2018-08-21,4.306450,4.310600,4.286880,4.306550,4.306550,0
2018-08-22,4.292150,4.296250,4.277430,4.293400,4.293400,0
2018-08-23,4.269100,4.291300,4.268530,4.269600,4.269600,0
2018-08-24,4.288210,4.290000,4.272550,4.288120,4.288120,0
2018-08-27,4.274770,4.277800,4.264960,4.275040,4.275040,0
2018-08-28,4.268800,4.276500,4.265700,4.270400,4.270400,0
2018-08-29,4.268260,4.290400,4.267560,4.269170,4.269170,0
